id, customer,placed_on,total_cost,total_tax,subtotal
80,16,2014-09-28 21:14:13,107.7,12.39,95.31
81,1,2014-11-07 01:50:28,750.29,86.32,663.97
82,10,2016-07-25 18:47:07,888.95,102.27,786.68
83,3,2018-03-09 12:23:26,841.35,96.79,744.56
84,6,2017-06-09 13:58:33,350.63,40.34,310.29
85,10,2017-05-11 03:56:27,700.65,80.61,620.04
86,5,2015-02-19 06:27:02,854.16,98.27,755.89
87,27,2014-04-20 19:06:31,666.24,76.65,589.59
88,13,2016-04-25 07:57:51,884.93,101.81,783.12
89,20,2017-03-21 18:07:20,380.15,43.73,336.42
90,31,2014-10-17 11:59:35,1430.98,164.63,1266.35
91,17,2017-01-17 03:37:57,592.09,68.12,523.97
92,24,2016-03-16 21:26:44,412.36,47.44,364.92
93,28,2018-05-04 19:04:32,1235.81,142.17,1093.64
94,21,2014-11-10 17:42:55,876.8,100.87,775.93
95,27,2016-05-03 16:46:21,600.89,69.13,531.76
96,25,2017-07-03 11:26:47,333.76,38.4,295.36
97,2,2015-05-18 15:17:31,457.68,52.65,405.03
98,31,2014-11-17 12:09:01,273.06,31.41,241.65
99,16,2016-01-16 16:01:48,617.29,71.02,546.27
100,22,2018-11-20 08:10:53,5.63,0.65,4.98
101,3,2018-04-05 05:30:01,757.56,87.15,670.41
102,11,2016-07-03 05:38:52,387.77,44.61,343.16
103,24,2016-10-02 14:37:50,80.44,9.25,71.19
104,2,2014-02-21 14:58:25,655.8,75.45,580.35
105,23,2014-06-26 19:34:57,1297.96,149.32,1148.64
106,15,2018-02-08 20:29:16,264.8,30.46,234.34
107,2,2014-01-14 07:27:17,761.37,87.59,673.78
108,28,2016-11-05 13:24:42,141.15,16.24,124.91
109,27,2014-09-23 07:56:51,180.79,20.8,159.99
110,24,2015-04-28 17:52:02,655.17,75.37,579.8
111,21,2016-07-17 07:57:35,394.96,45.44,349.52
112,13,2016-09-10 16:27:21,933.59,107.4,826.19
113,28,2014-01-07 01:28:36,0.99,0.11,0.88
114,3,2015-05-07 05:46:38,565.07,65.01,500.06
115,31,2015-12-28 05:27:39,970.81,111.69,859.12
116,18,2017-03-28 04:44:53,1006.54,115.8,890.74
117,24,2015-03-08 16:43:13,1722.49,198.16,1524.33
118,27,2017-12-06 21:58:06,1051.86,121.01,930.85
119,29,2015-12-28 19:08:05,190.7,21.94,168.76
120,23,2014-03-26 09:38:43,397.41,45.72,351.69
121,1,2014-03-12 16:48:01,81.5,9.38,72.12
122,5,2017-07-03 20:39:18,65.68,7.56,58.12
123,3,2018-04-23 02:30:28,276.1,31.76,244.34
124,4,2015-10-22 07:38:43,1241.93,142.88,1099.05
125,30,2016-12-03 13:24:37,260.49,29.97,230.52
126,7,2014-07-04 15:55:24,762.15,87.68,674.47
127,23,2016-11-25 11:54:52,320.08,36.82,283.26
128,19,2016-09-26 09:13:35,1621.44,186.54,1434.9
129,28,2018-06-26 17:22:18,572.83,65.9,506.93
130,9,2015-01-20 23:39:51,1110.11,127.71,982.4
131,14,2018-01-03 12:03:11,37.53,4.32,33.21
132,26,2016-09-12 15:44:46,66.74,7.68,59.06
133,24,2014-10-12 02:46:32,965.77,111.11,854.66
134,17,2014-08-03 20:22:20,1100.34,126.59,973.75
135,27,2014-11-15 21:20:41,721.97,83.06,638.91
136,11,2018-11-20 14:02:41,387.52,44.58,342.94
137,3,2015-11-22 18:55:10,850.16,97.81,752.35
138,3,2015-10-06 13:52:45,303.56,34.92,268.64
139,9,2014-10-17 01:14:34,62.24,7.16,55.08
140,29,2016-06-16 18:24:01,345.54,39.75,305.79
141,8,2018-11-24 13:57:23,676.88,77.87,599.01
142,18,2016-08-20 15:31:07,171.44,19.72,151.72
143,31,2014-06-14 15:30:40,149.95,17.25,132.7
144,28,2014-06-16 21:17:54,668.46,76.9,591.56
145,31,2017-12-10 17:30:06,1211.03,139.32,1071.71
146,11,2014-05-11 17:59:36,1574.28,181.11,1393.17
147,27,2014-02-16 16:09:51,1054.78,121.35,933.43
148,1,2017-01-08 10:57:05,2202,253.33,1948.67
149,2,2017-03-01 22:44:02,227.72,26.2,201.52
150,11,2014-02-17 01:25:58,795.57,91.53,704.04
151,20,2014-06-06 05:21:56,962.31,110.71,851.6
152,9,2014-10-05 17:36:32,886.36,101.97,784.39
153,22,2015-07-28 01:50:48,428.51,49.3,379.21
154,30,2018-08-28 14:01:15,286.12,32.92,253.2
155,29,2018-04-06 11:46:30,1568.59,180.46,1388.13
156,17,2015-04-14 21:57:28,739.34,85.06,654.28
157,29,2014-04-18 14:44:12,870.67,100.17,770.5
158,1,2017-05-04 11:10:08,119.76,13.78,105.98
159,18,2015-10-25 21:56:48,310.87,35.76,275.11
160,24,2016-03-09 09:43:58,1252.15,144.05,1108.1
161,19,2015-02-15 11:18:16,1441.43,165.83,1275.6
162,23,2017-09-18 14:10:54,143.46,16.5,126.96
163,5,2015-03-26 01:35:18,827.34,95.18,732.16
164,17,2016-01-25 13:31:43,172.37,19.83,152.54
165,23,2016-08-14 17:03:22,857.22,98.62,758.6
166,1,2015-10-13 15:54:28,883.41,101.63,781.78
167,8,2017-10-03 14:54:47,195.69,22.51,173.18
168,2,2015-03-05 09:31:59,163.79,18.84,144.95
169,9,2014-12-16 05:12:01,249.81,28.74,221.07
170,16,2018-02-20 22:59:13,11.07,1.27,9.8
171,22,2014-06-03 10:58:53,1217.16,140.03,1077.13
172,9,2014-03-16 16:21:50,468.03,53.84,414.19
173,26,2015-08-14 06:02:14,90.41,10.4,80.01
174,10,2018-12-11 16:59:57,714.39,82.19,632.2
175,7,2016-11-12 03:47:22,416.22,47.88,368.34
176,7,2018-10-21 03:39:50,675.81,77.75,598.06
177,12,2017-02-08 02:32:09,166.13,19.11,147.02
178,6,2018-04-24 11:47:34,1863.69,214.41,1649.28
179,10,2017-11-26 17:21:12,207.31,23.85,183.46
180,31,2017-03-24 22:28:54,19.12,2.2,16.92
181,6,2014-01-14 20:03:43,1937.34,222.88,1714.46
182,7,2016-10-08 17:58:26,80.14,9.22,70.92
183,17,2015-03-05 18:04:37,553.72,63.7,490.02
184,28,2015-05-09 01:37:59,117.26,13.49,103.77
185,2,2014-01-10 09:23:48,455.41,52.39,403.02
186,28,2016-02-04 10:44:07,292.79,33.68,259.11
187,27,2016-01-25 12:20:26,185.69,21.36,164.33
188,27,2014-10-02 10:48:32,559.97,64.42,495.55
189,18,2016-06-22 22:26:49,1356.02,156,1200.02
190,22,2015-06-02 11:18:23,1585.15,182.36,1402.79
191,6,2017-07-15 09:52:40,85.83,9.87,75.96
192,2,2017-05-18 21:03:42,172.97,19.9,153.07
193,12,2018-11-11 01:08:21,30.41,3.5,26.91
194,25,2016-12-23 04:36:12,565.81,65.09,500.72
195,27,2014-09-14 03:49:45,416.22,47.88,368.34
196,2,2016-10-27 23:36:31,886.24,101.96,784.28
197,8,2016-07-15 14:26:40,1185.83,136.42,1049.41
198,14,2018-07-05 13:12:51,742.21,85.39,656.82
199,24,2014-10-02 17:20:52,1167.11,134.27,1032.84
200,12,2018-08-07 22:35:01,420.46,48.37,372.09
